"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Africa","Congo","No","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","South-East Asia","Democratic People's Republic of Korea","Yes","0.00000","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2010","Americas","Ecuador","Yes, but not publically available","0.00000","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Czechia","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Democratic Republic of the Congo","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Denmark","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","Dominica","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Eastern Mediterranean","Jordan","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Eastern Mediterranean","Lebanon","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Liberia","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Luxembourg","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Russian Federation","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","Saint Lucia","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","San Marino","No","","","","","",""
"Type of nomenclature system","Published","2010","Americas","Argentina","Based on UMDNS (Universal Medical Device Nomenclature System)","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Europe","Armenia","None","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Europe","Austria","Based on UMDNS (Universal Medical Device Nomenclature System)","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Europe","Azerbaijan","None","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Europe","Bulgaria","Based on more than one system*","0.00000","","","","","based on more than one system:  such as a mixure of two or more of the following options: Based on GMDN (Global Medical Device Nomenclature), Nationally developped, other, etc."
"Type of nomenclature system","Published","2010","Africa","Burkina Faso","None","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Africa","Burundi","None","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Western Pacific","Cambodia","Nationally developed","0.00000","","","","",""
"Type of nomenclature system","Published","2010","Europe","Cyprus","Based on more than one system*","0.00000","","","","","based on more than one system:  such as a mixure of two or more of the following options: Based on GMDN (Global Medical Device Nomenclature), Nationally developped, other, etc."
