"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"New HIV infections (per 1000 uninfected population)","Published","2000","Americas","Uruguay","Both sexes","0.16 [0.14–0.18]","0.16000","0.14000","0.18000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2000","Europe","Uzbekistan","Both sexes","0.02 [0.01–0.03]","0.02000","0.01000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Europe","Austria","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Western Pacific","Brunei Darussalam","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Africa","Cote d'Ivoire","Both sexes","4.23 [3.68–5.32]","4.23000","3.68000","5.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Africa","Eswatini","Both sexes","21.82 [19.8–24.15]","21.82000","19.80000","24.15000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Americas","Honduras","Both sexes","0.58 [0.51–0.68]","0.58000","0.51000","0.68000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Europe","Kyrgyzstan","Both sexes","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Western Pacific","Lao People's Democratic Republic","Both sexes","0.1 [0.09–0.11]","0.10000","0.09000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Western Pacific","Marshall Islands","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Africa","Niger","Both sexes","0.62 [0.53–0.73]","0.62000","0.53000","0.73000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Europe","Republic of Moldova","Both sexes","0.25 [0.18–0.45]","0.25000","0.18000","0.45000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Africa","Rwanda","Both sexes","3.33 [3.03–3.67]","3.33000","3.03000","3.67000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Europe","Slovenia","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Western Pacific","Solomon Islands","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Africa","South Africa","Both sexes","12.73 [8.77–18]","12.73000","8.77000","18.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Western Pacific","Tonga","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Africa","Zimbabwe","Both sexes","13.7 [9.81–19.05]","13.70000","9.81000","19.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","Cameroon","Both sexes","4.47 [3.94–5.12]","4.47000","3.94000","5.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","Chad","Both sexes","1.49 [1.14–1.96]","1.49000","1.14000","1.96000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","Democratic Republic of the Congo","Both sexes","1.13 [0.94–1.32]","1.13000","0.94000","1.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Europe","Denmark","Both sexes","0.05 [0.04–0.06]","0.05000","0.04000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Americas","Dominica","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","Gambia","Both sexes","1.67 [1.25–2.22]","1.67000","1.25000","2.22000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","Ghana","Both sexes","1.88 [1.61–2.21]","1.88000","1.61000","2.21000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Europe","Ireland","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Europe","Italy","Both sexes","0.09 [0.08–0.1]","0.09000","0.08000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","Mozambique","Both sexes","8.74 [7.83–10.01]","8.74000","7.83000","10.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Western Pacific","Papua New Guinea","Both sexes","0.41 [0.34–0.49]","0.41000","0.34000","0.49000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Americas","Saint Vincent and the Grenadines","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Western Pacific","Samoa","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","Sao Tome and Principe","Both sexes","1.47 [1.11–2.04]","1.47000","1.11000","2.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Europe","Sweden","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Americas","Antigua and Barbuda","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Africa","Botswana","Both sexes","22.44 [21.02–23.8]","22.44000","21.02000","23.80000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Americas","Brazil","Both sexes","0.25 [0.23–0.26]","0.25000","0.23000","0.26000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Western Pacific","Cook Islands","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Americas","El Salvador","Both sexes","0.3 [0.26–0.33]","0.30000","0.26000","0.33000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Africa","Eritrea","Both sexes","0.94 [0.68–1.3]","0.94000","0.68000","1.30000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Europe","Estonia","Both sexes","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Europe","Kazakhstan","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Africa","Mali","Both sexes","1.2 [0.96–1.52]","1.20000","0.96000","1.52000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Western Pacific","New Zealand","Both sexes","0.02 [0.01–0.02]","0.02000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Americas","Nicaragua","Both sexes","0.15 [0.1–0.31]","0.15000","0.10000","0.31000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Eastern Mediterranean","Qatar","Both sexes","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Africa","Seychelles","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","South-East Asia","Thailand","Both sexes","1.04 [0.92–1.18]","1.04000","0.92000","1.18000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Africa","Togo","Both sexes","3.63 [2.85–4.67]","3.63000","2.85000","4.67000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Western Pacific","Vanuatu","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Americas","Venezuela (Bolivarian Republic of)","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Eastern Mediterranean","Yemen","Both sexes","0.02 [0.01–0.02]","0.02000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Americas","Bahamas","Both sexes","1.34 [1.18–1.51]","1.34000","1.18000","1.51000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Eastern Mediterranean","Bahrain","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Africa","Cabo Verde","Both sexes","0.53 [0.4–0.7]","0.53000","0.40000","0.70000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Western Pacific","Cambodia","Both sexes","1.36 [1.15–1.53]","1.36000","1.15000","1.53000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Western Pacific","Fiji","Both sexes","0.02 [0.01–0.11]","0.02000","0.01000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Africa","Gabon","Both sexes","4.49 [3.02–6.78]","4.49000","3.02000","6.78000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Europe","Iceland","Both sexes","0.03 [0.03–0.04]","0.03000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","South-East Asia","India","Both sexes","0 [0–0]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Eastern Mediterranean","Iran (Islamic Republic of)","Both sexes","0.02 [<0.01–0.06]","0.02000","0.01000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Europe","Latvia","Both sexes","0.09 [0.08–0.11]","0.09000","0.08000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Africa","Liberia","Both sexes","1.64 [1.35–2.12]","1.64000","1.35000","2.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Western Pacific","Micronesia (Federated States of)","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Europe","Montenegro","Both sexes","<0.01 [<0.01–0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Americas","Saint Lucia","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Europe","Spain","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Eastern Mediterranean","Tunisia","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Western Pacific","Tuvalu","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Eastern Mediterranean","Afghanistan","Both sexes","0.03 [<0.01–0.05]","0.03000","0.01000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Europe","Andorra","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Africa","Benin","Both sexes","1.44 [1.22–1.77]","1.44000","1.22000","1.77000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Western Pacific","China","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Americas","Dominica","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Americas","Ecuador","Both sexes","0.2 [0.14–0.28]","0.20000","0.14000","0.28000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Americas","Grenada","Both sexes","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Western Pacific","Japan","Both sexes","No data","","","","","",""
